Z (um),Deflection (um)
0.0494,-0.016384
0.0493,-0.016326
0.0492,-0.016329
0.0491,-0.016315
0.049,-0.016323
0.0489,-0.016243
0.0488,-0.016208
0.0487,-0.016211
0.0486,-0.01622
0.0485,-0.016159
0.0484,-0.016168
0.0483,-0.016079
0.0482,-0.016056
0.0481,-0.016013
0.048,-0.01601
0.0479,-0.015938
0.0478,-0.015964
0.0477,-0.015906
0.0476,-0.015869
0.0475,-0.015828
0.0474,-0.015794
0.0473,-0.015774
0.0472,-0.015808
0.0471,-0.015759
0.047,-0.01567
0.0469,-0.015716
0.0468,-0.015682
0.0467,-0.015578
0.0466,-0.015578
0.0465,-0.015529
0.0464,-0.015509
0.0463,-0.015495
0.0462,-0.015474
0.0461,-0.015466
0.046,-0.015426
0.0459,-0.015368
0.0458,-0.015368
0.0457,-0.015345
0.0456,-0.015285
0.0455,-0.015296
0.0454,-0.015262
0.0453,-0.015253
0.0452,-0.015239
0.0451,-0.015164
0.045,-0.015123
0.0449,-0.015103
0.0448,-0.015008
0.0447,-0.01498
0.0446,-0.014997
0.0445,-0.014968
0.0444,-0.014962
0.0443,-0.014934
0.0442,-0.014905
0.0441,-0.014844
0.044,-0.014793
0.0439,-0.01481
0.0438,-0.014755
0.0437,-0.014758
0.0436,-0.01468
0.0435,-0.014652
0.0434,-0.01464
0.0433,-0.01464
0.0432,-0.014634
0.0431,-0.014608
0.043,-0.014525
0.0429,-0.014513
0.0428,-0.014499
0.0427,-0.014476
0.0426,-0.014442
0.0425,-0.014395
0.0424,-0.01437
0.0423,-0.014329
0.0422,-0.014344
0.0421,-0.014283
0.042,-0.014211
0.0419,-0.014257
0.0418,-0.014206
0.0417,-0.014203
0.0416,-0.01409
0.0415,-0.014079
0.0414,-0.01407
0.0413,-0.014047
0.0412,-0.014013
0.0411,-0.014027
0.041,-0.014007
0.0409,-0.013981
0.0408,-0.013909
0.0407,-0.013932
0.0406,-0.013883
0.0405,-0.013852
0.0404,-0.013829
0.0403,-0.013852
0.0402,-0.013834
0.0401,-0.013774
0.04,-0.013722
0.0399,-0.013659
0.0398,-0.013659
0.0397,-0.013604
0.0396,-0.013593
0.0395,-0.01357
0.0394,-0.013529
0.0393,-0.013529
0.0392,-0.013575
0.0391,-0.013552
0.039,-0.013486
0.0389,-0.013449
0.0388,-0.013446
0.0387,-0.013426
0.0386,-0.013319
0.0385,-0.013319
0.0384,-0.013265
0.0383,-0.013219
0.0382,-0.013152
0.0381,-0.013152
0.038,-0.013161
0.0379,-0.013184
0.0378,-0.013141
0.0377,-0.013092
0.0376,-0.013052
0.0375,-0.01302
