Z (um),Deflection (um)
-0.0032,0.0021753
-0.00305,0.0020429
-0.0029,0.0018818
-0.00275,0.0016602
-0.0026,0.0014703
-0.00245,0.0012891
-0.0023,0.001174
-0.00215,0.0009409
-0.002,0.00075099
-0.00185,0.00058123
-0.0017,0.00049203
-0.00155,0.00029061
-0.0014,0.00010359
-0.00125,2.0142e-05
-0.0011,-0.00024745
-0.00095,-0.00039995
-0.0008,-0.00063014
-0.00065,-0.00069345
-0.0005,-0.00087472
-0.00035,-0.0010905
-0.0002,-0.001243
-5e-05,-0.0014588
0.0001,-0.0015998
0.00025,-0.0017322
0.0004,-0.0019365
0.00055,-0.0020228
0.0007,-0.0022271
0.00085,-0.0024544
0.001,-0.0025465
0.00115,-0.0026529
0.0013,-0.0028946
0.00145,-0.0030299
0.0016,-0.003168
0.00175,-0.0033838
0.0019,-0.0034845
0.00205,-0.0036917
0.0022,-0.0038557
0.00235,-0.0039794
0.0025,-0.0042556
0.00265,-0.0044599
0.0028,-0.0045405
0.00295,-0.0046786
0.0031,-0.0048426
0.00325,-0.005067
0.0034,-0.0051678
0.00355,-0.0054008
0.0037,-0.0055418
0.00385,-0.0057001
0.004,-0.0057576
0.00415,-0.0060137
0.0043,-0.0062036
0.00445,-0.0063187
0.0046,-0.006405
0.00475,-0.0066295
0.0049,-0.0068395
0.00505,-0.0069287
0.0052,-0.0071445
0.00535,-0.0071877
0.0055,-0.0073056
0.00565,-0.0074437
0.0058,-0.0076279
0.00595,-0.0078178
0.0061,-0.0079185
0.00625,-0.0080825
0.0064,-0.0082062
0.00655,-0.0084019
0.0067,-0.0085343
0.00685,-0.0086724
0.007,-0.0088076
0.00715,-0.0089342
0.0073,-0.0090493
0.00745,-0.0091615
0.0076,-0.0093227
0.00775,-0.0093342
0.0079,-0.0093975
0.00805,-0.0095039
0.0082,-0.0096162
0.00835,-0.0096996
0.0085,-0.0098492
0.00865,-0.0098924
0.0088,-0.0099758
0.00895,-0.0099672
0.0091,-0.0099873
0.00925,-0.010071
0.0094,-0.010016
0.00955,-0.010045
0.0097,-0.010114
0.00985,-0.010223
0.01,-0.010223
0.01015,-0.010252
